name,popularity
zephyr-for-jira-test-management,156
zoom,156
dumpling,155
acunetix,154
consul,154
jobdelete-builder,154
sidebar-update-notification,154
kiuwanJenkinsPlugin,153
list-command,153
mock-security-realm,153
csp,152
gcp-java-sdk-auth,152
polarion,152
micro-focus-performance-center-integration,151
multibranch-job-tear-down,151
redmine-metrics-report,151
scons,151
add-changes-to-build-changelog,150
form-element-path,150
jobrequeue,150
compound-slaves,149
ivy-report,149
teamconcert-git,149
aio-tests,148
mathworks-polyspace,148
alibabacloud-credentials,147
datetime-constraint,147
monitor-pro,147
dependency-queue-plugin,146
openshift-deployer,146
wix,145
codeql,144
log-command,144
pipeline-keep-running-step,144
agent-server-parameter,143
marathon,142
tricentis-ci,141
kafkalogs,140
lambda-test-runner,139
aqua-microscanner,137
codebuild-cloud,137
zulip,137
enhanced-metrics,136
inodes-monitor,133
mttr,133
tool-labels-plugin,133
azure-vmss,132
clamav,132
mixing-security-realm,132
pending-changes,132
ecs-publisher,130
hyper-commons,129
suppress-stack-trace,129
thycotic-secret-server,129
cloudbees-enabler,128
jenkins-reviewbot,128
strawboss,128
vncrecorder,128
ibm-security-appscanstandard-scanner,127
jswidgets,127
sms,127
clearcase-ucm-plugin,126
ftp-rename,126
gcal,126
git-bisect,126
html-audio-notifier,126
skype-notifier,126
selection-tasks-plugin,125
websocketin-notification,124
blackduck-security-scan,123
buildcontext-capture,123
sysdig-secure,122
chartjs-api,121
labeled-test-groups-publisher,121
livescreenshot,121
offlineonfailure-plugin,121
spring-initalzr,121
azure-kubernetes-credentials,120
violation-columns,120
digicert-software-trust-code-sign,119
chatter-notifier,118
gcp-java-sdk-storage,118
pipeline-gcp,118
autocancel,117
behave-testresults-publisher,117
environment-filter-utils,117
r,117
testcafe,117
accurev,116
google-deployment-manager,116
javatest-report,116
tuleap-api,116
ezwall,115
lifx-notifier,115
node-sharing-executor,115
cortex-metrics,114
crx-content-package-deployer,113
jmh-report,113
autoaction-step,112
cloudshare-docker,112
feature-branch-notifier,112
figlet-buildstep,112
llvm-cov,112
CustomHistory,111
chroot,111
database-h2,111
google-api-client-plugin,111
jms-messaging,111
mantis,111
azure-publishersettings-credentials,110
jigomerge,107
gnat,106
internetmeme,105
osf-builder-suite-for-sfcc-credentials,105
testingbot,105
chosen,104
slave-squatter,104
windocks-start-container,104
agent-maintenance,103
global-yaml-properties,103
scala-junit-name-decoder,103
dynatrace-dashboard,102
mailmap-resolver,102
puppet,102
beer,101
conventional-commits,101
datatheorem-mobile-app-security,101
fluentd,101
qc,101
